WWR-EW,WWR-NS,ShadeType,SHGC,VLT,U-value,ExWall,Ventilation,EUI (kWh/m2),ELECp (W/m2),Daylight Autonomy,Excessive Daylight,EUI Saved(-)Wasted(+),REF_ELECp,REF_DA,REF_ExcDA,OT26% - L5-Student-Com-NE,OT26% - L5-Studio-SW,OT26% - L5-Studio-SE,OT26% - L5-Studio-NW,img
45,35,0,0.45,0.53,2.5,1,0,18.3,22.21,49.21,2.78,-1.51,12.97,78.04,86.58,11.76,16.67,15.56,18.61,option_61.png
25,45,0,0.45,0.53,2.5,1,0,16.1,16.8,30.62,1.62,-13.35,-14.55,10.78,8.72,5.08,12.42,11.27,13.92,option_62.png
35,45,0,0.45,0.53,2.5,1,0,17.26,19.1,41.31,2.22,-7.10,-2.85,49.46,48.99,8.29,14.21,13.21,16,option_63.png
45,45,0,0.45,0.53,2.5,1,0,18.43,22.27,49.98,2.84,-0.81,13.28,80.82,90.60,12.47,16.92,15.66,19.33,option_64.png
25,25,1,0.45,0.53,2.5,1,0,15.21,15.13,20.49,0.77,-18.14,-23.04,-25.87,-48.32,3.08,9.76,9.93,10.61,option_65.png
35,25,1,0.45,0.53,2.5,1,0,16,16.34,31.59,0.95,-13.89,-16.89,14.29,-36.24,4.2,10.17,10.46,11.24,option_66.png
45,25,1,0.45,0.53,2.5,1,0,16.81,17.97,40.7,1.13,-9.53,-8.60,47.25,-24.16,5.65,10.62,11,12.01,option_67.png
25,35,1,0.45,0.53,2.5,1,0,15.32,15.41,22.22,0.82,-17.55,-21.62,-19.61,-44.97,3.39,9.85,9.93,10.94,option_68.png
35,35,1,0.45,0.53,2.5,1,0,16.12,16.46,32.96,1,-13.24,-16.28,19.25,-32.89,4.38,10.21,10.51,11.47,option_69.png
45,35,1,0.45,0.53,2.5,1,0,16.93,18.24,41.75,1.17,-8.88,-7.22,51.05,-21.48,6.11,10.56,10.99,12.27,option_70.png
25,45,1,0.45,0.53,2.5,1,0,15.45,15.58,23.4,0.87,-16.85,-20.75,-15.34,-41.61,3.65,9.91,9.99,11.22,option_71.png
35,45,1,0.45,0.53,2.5,1,0,16.24,16.53,34.04,1.05,-12.59,-15.92,23.15,-29.53,4.73,10.29,10.51,11.85,option_72.png
45,45,1,0.45,0.53,2.5,1,0,17,18.57,42.71,1.22,-8.50,-5.54,54.52,-18.12,6.63,10.66,11.02,12.27,option_73.png
25,25,2,0.45,0.53,2.5,1,0,14.45,11.84,13,0.19,-22.23,-39.78,-52.97,-87.25,0.33,6.19,5.96,5.64,option_74.png
35,25,2,0.45,0.53,2.5,1,0,15.13,12.27,18.22,0.28,-18.57,-37.59,-34.08,-81.21,0.41,5.84,5.7,5.31,option_75.png
45,25,2,0.45,0.53,2.5,1,0,15.8,12.75,23.24,0.38,-14.96,-35.15,-15.92,-74.50,0.51,5.76,5.67,5.23,option_76.png
25,35,2,0.45,0.53,2.5,1,0,14.59,11.95,13.7,0.2,-21.47,-39.22,-50.43,-86.58,0.39,6.02,5.88,5.46,option_77.png
35,35,2,0.45,0.53,2.5,1,0,15.26,12.32,18.97,0.29,-17.87,-37.33,-31.37,-80.54,0.48,5.82,5.72,5.37,option_78.png
45,35,2,0.45,0.53,2.5,1,0,15.92,12.81,23.96,0.39,-14.32,-34.84,-13.31,-73.83,0.54,5.73,5.64,5.18,option_79.png
25,45,2,0.45,0.53,2.5,1,0,14.73,12.05,14.5,0.2,-20.72,-38.71,-47.54,-86.58,0.4,5.95,5.75,5.35,option_80.png
35,45,2,0.45,0.53,2.5,1,0,15.42,12.47,19.7,0.29,-17.01,-36.57,-28.73,-80.54,0.49,5.81,5.65,5.3,option_81.png
45,45,2,0.45,0.53,2.5,1,0,16.05,12.91,24.8,0.4,-13.62,-34.33,-10.27,-73.15,0.59,5.67,5.61,5.18,option_82.png
25,25,0,0.25,0.33,3.5,1,0,15.76,14.53,13.66,0.9,-15.18,-26.09,-50.58,-39.60,1.06,7.16,6.95,7.53,option_83.png
35,25,0,0.25,0.33,3.5,1,0,16.68,15.7,21.85,1.26,-10.23,-20.14,-20.95,-15.44,1.88,7.37,7.09,7.89,option_84.png
45,25,0,0.25,0.33,3.5,1,0,17.63,17.34,29.98,1.63,-5.11,-11.80,8.47,9.40,2.73,7.43,7.2,8.18,option_85.png
25,35,0,0.25,0.33,3.5,1,0,15.91,14.64,15.1,0.93,-14.37,-25.53,-45.37,-37.58,1.15,6.97,6.74,7.41,option_86.png
35,35,0,0.25,0.33,3.5,1,0,16.81,15.81,23,1.29,-9.53,-19.58,-16.79,-13.42,1.93,7.19,6.94,7.8,option_87.png
45,35,0,0.25,0.33,3.5,1,0,17.76,17.53,30.98,1.66,-4.41,-10.83,12.08,11.41,2.8,7.2,7.01,8.03,option_88.png
25,45,0,0.25,0.33,3.5,1,0,16.04,14.77,16.21,0.96,-13.67,-24.87,-41.35,-35.57,1.24,6.7,6.61,7.28,option_89.png
